Section,Methodology Note,Status
Project Purpose,This project builds a quantitative 2026 World Cup pricing model that estimates fair probabilities for match outcomes and compares them against Kalshi market-implied probabilities.,Official
Project Purpose,"The objective is not simply to pick winners, but to identify potential mispriced outcomes where model probability exceeds market probability.",Official
Project Purpose,The project is framed as a finance/econ-style market-pricing model using sports event contracts as the tradable asset.,Official
Project Purpose,model_pick identifies the most likely match outcome. best_value identifies the outcome with the highest model-versus-market edge. These can differ.,Official
Model Version,Official launch model is v0.2.,Official
Model Version,v0.2 is the clean base model used for official pre-match moneyline signals.,Official
Model Version,"v0.3 exists as an experimental situational overlay using climate, altitude, venue, host, and tactical style factors.",Experimental
Model Version,v0.3 is tracked separately and is not the official launch model because situational variables are more subjective and can create overly aggressive edge signals.,Experimental
Model Version,"Official dashboard output should primarily reference model_inputs_v02. v0.3 should be used for research comparison, not primary signal generation.",Official
v0.2 Inputs,"v0.2 uses Elo differential, last-5 goal differential, xG differential, and last-5 form.",Official
v0.2 Inputs,Opta rank was excluded because it overlaps heavily with Elo and could double-count broad team strength.,Official
v0.2 Inputs,Shots on target was not included in v0.2 raw_score because it overlaps with xG and goal differential. It may be added later after calibration.,Official
v0.2 Inputs,"Climate, altitude, host status, venue tier, and tactical style were collected but excluded from official v0.2 output.",Official
v0.2 Inputs,"Positive matchup-difference values generally indicate an advantage for the listed home team. In this project, home_team means listed team, not true home-field advantage.",Official
v0.2 Formula,raw_score = (elo_diff*0.06) + (gd_last5_diff*0.15) + (xg_diff_diff*0.35) + (form_diff*0.08).,Official
v0.2 Formula,home_strength = 1 / (1 + EXP(-raw_score)).,Official
v0.2 Formula,home_strength represents the listed home team's share of non-draw win probability.,Official
v0.2 Formula,draw_prob is estimated separately using matchup closeness rather than being derived directly from the home/away sigmoid split.,Official
v0.2 Formula,home_win_prob = (1 - draw_prob) * home_strength.,Official
v0.2 Formula,away_win_prob = (1 - draw_prob) * (1 - home_strength).,Official
v0.2 Formula,home_win_prob + draw_prob + away_win_prob should always sum to 100%.,Official
Draw Model,A systematic issue was identified where the model over-flagged draws as STRONG PLAYs in heavy-favorite matches.,Risk Control
Draw Model,This occurred because the draw probability floor was too high relative to market prices in severe mismatch games.,Risk Control
Draw Model,"Examples of suspicious draw edges include heavy favorites such as Germany, Spain, Brazil, France, or Portugal where market draw probability is extremely low.",Risk Control
