Section,Methodology Note,Status
Project Purpose,This project builds a quantitative 2026 World Cup pricing model that estimates fair probabilities for match outcomes and compares them against Kalshi market-implied probabilities.,Official
Project Purpose,"The objective is not simply to pick winners, but to identify potential mispriced outcomes where model probability exceeds market probability.",Official
Project Purpose,The project is framed as a finance/econ-style market-pricing model using sports event contracts as the tradable asset.,Official
Project Purpose,model_pick identifies the most likely match outcome. best_value identifies the outcome with the highest model-versus-market edge. These can differ.,Official
Model Version,Moneyline production model is v0.2 (frozen). O/U production model is v0.3 (situational + multiplicative scalars).,Official
Model Version,v0.2 moneyline is the clean base model using team-quality differentials only.,Official
Model Version,v0.3 moneyline overlay is experimental and not used for live signals.,Experimental
Model Version,v0.3 O/U was promoted to production because goal totals are more sensitive to situational context (climate/venue/tactical) than binary match outcomes.,Official
Model Version,v0.2 O/U is preserved in ou_model_vo2_FROZEN for forward-test comparison against v0.3 O/U.,Official
Model Version,"Official dashboard outputs: model_output for moneyline (from v0.2), ou_model for O/U (from v0.3).",Official
v0.2 Inputs,"v0.2 moneyline uses team-strength differential, last-5 goal differential, xG differential, and last-5 form.",Official
v0.2 Inputs,Team-strength differential is sourced from Opta Power Ratings; the column is labeled 'elo' for historical reasons but contains Opta data.,Official
v0.2 Inputs,The original Opta-vs-Elo dual-anchor design was collapsed to a single quality measure to avoid double-counting.,Official
v0.2 Inputs,Shots on target was not included in v0.2 raw_score because it overlaps with xG and goal differential. May be added after calibration.,Official
v0.2 Inputs,"Climate, altitude, host status, venue tier, and tactical style were collected but excluded from official v0.2 moneyline output.",Official
v0.2 Inputs,"Climate, altitude, venue tier, and tactical style ARE used in v0.3 O/U production.",Official
v0.2 Inputs,"Positive matchup-difference values indicate an advantage for the listed home team. In this project, home_team means listed team, not true home-field advantage.",Official
v0.2 Formula,raw_score = (elo_diff*0.06) + (gd_last5_diff*0.15) + (xg_diff_diff*0.35) + (form_diff*0.08).,Official
v0.2 Formula,home_strength = 1 / (1 + EXP(-raw_score)).,Official
v0.2 Formula,home_strength represents the listed home team's share of non-draw win probability.,Official
v0.2 Formula,draw_prob is estimated separately using matchup closeness rather than being derived directly from the home/away sigmoid split.,Official
